algorithm,scan,signal,op_channel,nic_channel,ssid,bssid,vendor,delayj,delayk,frame_type,kernel_time,jiffies,prequest
200,11,-73,1,1,FreeWifi,14:0c:76:f4:42:55,NA,10,0.0108089999994263,presponse,5056.194906,4756195,2763
200,11,-72,1,1,Freebox-658F15,14:0c:76:f4:42:54,NA,12,0.0128239999994548,presponse,5056.196921,4756197,2763
200,11,-73,1,1,FreeWifi_secure,14:0c:76:f4:42:56,NA,14,0.0149080000001049,presponse,5056.199005,4756199,2763
200,11,-80,11,11,freebox_RNXNFY,9a:bc:5e:18:37:e8,NA,3,0.00384899999971822,presponse,5056.217922,4756218,2764
200,11,-79,11,11,FreeWifi,9a:bc:5e:18:37:ea,NA,6,0.00627600000007078,presponse,5056.220349,4756221,2764
200,11,-78,11,11,FreeWifi_secure,9a:bc:5e:18:37:eb,NA,14,0.0144119999995382,presponse,5056.228485,4756229,2764
200,11,-82,11,10,FreeWifi_secure,9a:bc:5e:18:37:eb,NA,13,0.0130840000001626,presponse,5056.284216,4756285,2766
200,11,-82,11,10,FreeWifi_secure,9a:bc:5e:18:37:eb,NA,20,0.0207310000005236,presponse,5056.291863,4756292,2766
200,11,-67,3,3,Freebox-509E0F,f4:ca:e5:c2:2c:68,NA,4,0.00450300000011339,presponse,5056.306689,4756307,2767
200,11,-68,3,3,FreeWifi,f4:ca:e5:c2:2c:69,NA,6,0.00653200000033394,presponse,5056.308718,4756309,2767
200,11,-68,3,3,FreeWifi_secure,f4:ca:e5:c2:2c:6a,NA,8,0.00879400000030728,presponse,5056.31098,4756311,2767
200,11,-49,5,5,tntbus,00:15:6d:64:a7:50,NA,0,0.000679000000673113,presponse,5056.372801,4756373,2770
200,11,-73,6,5,reseaujegu,00:1a:2b:3b:cc:69,NA,7,0.00710799999978917,presponse,5056.37923,4756380,2770
200,11,-73,1,1,FreeWifi,14:0c:76:f4:42:55,NA,18,0.0188789999992878,presponse,5056.416971,4756417,2772
200,11,-73,1,1,Freebox-658F15,14:0c:76:f4:42:54,NA,21,0.0209469999999783,presponse,5056.419039,4756420,2772
200,12,-72,6,6,NUMERICABLE-2013,24:ec:99:da:15:3b,NA,8,0.00815200000033656,presponse,5095.564241,4795565,2465
200,12,-71,6,6,Livebox-443f,5c:33:8e:3c:0d:6a,NA,12,0.0122770000007222,presponse,5095.568366,4795569,2465
200,12,-74,6,6,NUMERICABLE-2013,24:ec:99:da:15:3b,NA,20,0.0202509999999165,presponse,5095.57634,4795577,2465
200,12,-78,6,6,Livebox-ce54,00:19:70:b2:8d:5a,NA,29,0.0291210000004867,presponse,5095.58521,4795586,2465
